package,majors_pinned,packs_involved
numpy,1:35; 2:8,43
pillow,10:17; 11:5; 9:5; 8:1,28
accelerate,0:18; 1:5,23
torch,2:17; 1:2,19
timm,0:10; 1:3,13
protobuf,5:3; 4:5; 3:3,11
pytorch-lightning,2:4; 1:7,11
certifi,2024:8; 2022:1; 2023:1,10
gradio,4:3; 5:2; 3:5,10
psutil,5:8; 6:1,9
urllib3,2:5; 1:3,8
anyio,4:4; 3:3,7
httpcore,1:4; 0:3,7
markupsafe,2:5; 3:2,7
packaging,24:5; 23:2,7
torchmetrics,1:4; 0:2,6
altair,5:5; 4:1,6
attrs,24:4; 23:1; 25:1,6
charset-normalizer,3:5; 2:1,6
fsspec,2024:4; 2023:2,6
albumentations,1:3; 0:1,4
av,12:2; 10:1; 11:1,4
flatbuffers,24:3; 23:1,4
gradio_client,1:2; 0:2,4
nvidia-cudnn-cu12,8:3; 9:1,4
regex,2024:3; 2023:1,4
triton,2:3; 3:1,4
webcolors,24:2; 1:2,4
async-timeout,4:2; 5:1,3
jsonschema-specifications,2023:2; 2024:1,3
pytz,2024:2; 2023:1,3
qrcode,7:2; 8:1,3
tifffile,2024:2; 2023:1,3
tzdata,2024:2; 2023:1,3
watchdog,4:2; 3:1,3
pytorch_lightning,2:2; 1:1,3
importlib-metadata,6:1; 8:1,2
setuptools,75:1; 70:1,2
flask,3:1; 2:1,2
googletrans,4:1; 3:1,2
