pack_main,pack_other,package,spec_main,spec_other,downloads_main,downloads_other,impact
comfyui-impact-subpack,comfyui-fal-api-flux,numpy,numpy==1.26.4,numpy==2.1.1,235101,2580,237681
comfyui-impact-subpack,comfyui-scene-composer,numpy,numpy==1.26.4,numpy==2.1.2,235101,2530,237631
comfyui-impact-subpack,comfyui-prompt-factory,numpy,numpy==1.26.4,numpy==2.1.3,235101,1160,236261
comfyui-impact-subpack,comfyui-seamless-clone,numpy,numpy==1.26.4,numpy==2.2.0,235101,959,236060
comfyui-impact-subpack,comfyui-structured-outputs,numpy,numpy==1.26.4,numpy==2.2.2,235101,757,235858
comfyui-impact-subpack,comfyui_creepy_nodes,numpy,numpy==1.26.4,numpy==2.0.0,235101,431,235532
comfyui-impact-subpack,ComfyUI-RabbitMQ-Publisher,numpy,numpy==1.26.4,numpy==2.1.3,235101,0,235101
comfyui-impact-subpack,Comfyui_mobilesam,numpy,numpy==1.26.4,numpy==2.1.2,235101,0,235101
comfyui-reactor,comfyui-fal-api-flux,numpy,numpy==1.26.3,numpy==2.1.1,126051,2580,128631
comfyui-reactor,comfyui-scene-composer,numpy,numpy==1.26.3,numpy==2.1.2,126051,2530,128581
comfyui-reactor,comfyui-prompt-factory,numpy,numpy==1.26.3,numpy==2.1.3,126051,1160,127211
comfyui-reactor,comfyui-seamless-clone,numpy,numpy==1.26.3,numpy==2.2.0,126051,959,127010
comfyui-reactor,comfyui-structured-outputs,numpy,numpy==1.26.3,numpy==2.2.2,126051,757,126808
comfyui-reactor,comfyui_creepy_nodes,numpy,numpy==1.26.3,numpy==2.0.0,126051,431,126482
comfyui-reactor,ComfyUI-RabbitMQ-Publisher,numpy,numpy==1.26.3,numpy==2.1.3,126051,0,126051
comfyui-reactor,Comfyui_mobilesam,numpy,numpy==1.26.3,numpy==2.1.2,126051,0,126051
comfyui-mvadapter,fooocus_nodes,accelerate,accelerate==1.1.1,accelerate==0.32.1,33484,5329,38813
comfyui-mvadapter,comfyui-idm-vton,accelerate,accelerate==1.1.1,accelerate==0.30.0,33484,4322,37806
comfyui-mvadapter,comfyui-kandinsky22,accelerate,accelerate==1.1.1,accelerate==0.27.2,33484,903,34387
comfyui-mvadapter,objectfusion_comfyui_nodes,accelerate,accelerate==1.1.1,accelerate==0.33.0,33484,766,34250
